epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
0,3,P6,0.27,0.848,0.848,10.0,0.166,9.834,7.709856,8.91718,0.166,5,20
1,1,P8,0.35,0.298,0.298,17.6159,0.248,17.3679,11.115457,11.608403,0.2477,5,20
1,2,P8,0.35,0.696,0.696,17.6159,0.248,17.3679,11.115457,11.608403,0.2477,5,20
2,1,P10,0.47,0.42,0.42,19.6403,0.37,19.2703,12.332992,7.908501,0.3695,5,20
3,1,P3,0.19,0.141,0.141,0.9485,0.091,0.8575,0.343,0.20145509,0.0911,5,20
3,2,P6,0.27,0.457,0.457,10.0,0.166,9.834,6.29376,6.127386,0.166,5,20
3,3,P6,0.27,0.773,0.773,10.0,0.166,9.834,6.29376,6.127386,0.166,5,20
4,1,P9,0.4,0.352,0.352,19.0515,0.302,18.7495,11.9996805,11.735014,0.3025,5,20
4,2,P9,0.4,0.804,0.804,19.0515,0.302,18.7495,11.9996805,11.735014,0.3025,5,20
5,1,P10,0.47,0.42,0.42,19.6403,0.37,19.2703,12.332992,7.3079686,0.3695,5,20
6,1,P5,0.24,0.186,0.186,5.3788,0.136,5.2428,4.110355,4.413853,0.1359,5,20
6,2,P5,0.24,0.472,0.472,5.3788,0.136,5.2428,4.110355,4.413853,0.1359,5,20
